ip;city;region;country;loc;org;timezone;hostname;postal;error
190.128.170.154;Mariano Roque Alonso;Central Department;PY;-25.2079,-57.5320;AS23201 Telecel S.A.;America/Asuncion;mail.engineering.com.py;;
200.223.84.251;Salvador;Bahia;BR;-12.9756,-38.4910;AS7738 V tal;America/Bahia;;40000-000;
181.78.27.170;Asunción;Asunción;PY;-25.2865,-57.6470;AS52468 UFINET PANAMA S.A.;America/Asuncion;170.27.78.181.ufinet.com.py;;
148.101.181.113;Salvaleón de Higüey;La Altagracia Province;DO;18.6150,-68.7080;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;113.181.101.148.l.static.claro.net.do;;
200.88.85.65;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;65.85.88.200.f.static.codetel.net.do;10201;
201.46.28.159;Santo André;São Paulo;BR;-23.6639,-46.5383;AS28669 America-NET Ltda.;America/Sao_Paulo;201.46.28.159.access.a85.com.br;09000-000;
181.37.179.65;Santo Domingo Este;Santo Domingo Province;DO;18.4885,-69.8571;AS28118 ALTICE DOMINICANA S.A.;America/Santo_Domingo;adsl-179-65.tricom.net;11605;
188.85.135.100;Madrid;Madrid;ES;40.4638,-3.5923;AS12430 VODAFONE ESPANA S.A.U.;Europe/Madrid;static-100-135-85-188.ipcom.comunitel.net;28042;
200.3.248.6;Ciudad del Este;Alto Paraná;PY;-25.5097,-54.6111;AS27895 Núcleo S.A.;America/Asuncion;personal-f248-6.personal.net.py;;
186.148.90.182;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS52471 COLUMBUS NETWORKS DOMINICANA, S.A.;America/Santo_Domingo;;10201;
